Name,Vector1,Vector2,Row,Column,F,Well,Compound,Concentration
r02c13f01p01-sk1fk1fl1.tiff,3.5063086,5.5354815,B,13,01,B13,Brefeldin A,25
r02c13f02p01-sk1fk1fl1.tiff,3.1781745,5.6263475,B,13,02,B13,Brefeldin A,25
r02c13f03p01-sk1fk1fl1.tiff,3.1712005,5.8275948,B,13,03,B13,Brefeldin A,25
r02c13f04p01-sk1fk1fl1.tiff,2.9073937,5.63018,B,13,04,B13,Brefeldin A,25
r02c13f05p01-sk1fk1fl1.tiff,3.7074904,6.4792886,B,13,05,B13,Brefeldin A,25
r02c13f06p01-sk1fk1fl1.tiff,2.772753,3.5534692,B,13,06,B13,Brefeldin A,25
r02c13f07p01-sk1fk1fl1.tiff,3.3788126,5.2967253,B,13,07,B13,Brefeldin A,25
r02c13f08p01-sk1fk1fl1.tiff,3.6333485,6.304486,B,13,08,B13,Brefeldin A,25
r02c13f09p01-sk1fk1fl1.tiff,3.4324574,6.3320003,B,13,09,B13,Brefeldin A,25
r02c23f01p01-sk1fk1fl1.tiff,-1.8831075,-4.124648,B,23,01,B23,DMSO,
r02c23f02p01-sk1fk1fl1.tiff,-2.3486419,-2.1957016,B,23,02,B23,DMSO,
r02c23f03p01-sk1fk1fl1.tiff,-2.993527,-1.9275852,B,23,03,B23,DMSO,
r02c23f04p01-sk1fk1fl1.tiff,-1.9324396,-1.7013843,B,23,04,B23,DMSO,
r02c23f05p01-sk1fk1fl1.tiff,-2.6765125,-1.6011735,B,23,05,B23,DMSO,
r02c23f06p01-sk1fk1fl1.tiff,-3.129822,-4.3927565,B,23,06,B23,DMSO,
r02c23f07p01-sk1fk1fl1.tiff,-1.5752066,-3.4048574,B,23,07,B23,DMSO,
r02c23f08p01-sk1fk1fl1.tiff,-2.8313036,-4.385917,B,23,08,B23,DMSO,
r02c23f09p01-sk1fk1fl1.tiff,-1.3996859,-3.161372,B,23,09,B23,DMSO,
r02c24f01p01-sk1fk1fl1.tiff,-1.0996537,-2.2930973,B,24,01,B24,DMSO,
r02c24f02p01-sk1fk1fl1.tiff,-3.358738,-2.982942,B,24,02,B24,DMSO,
r02c24f03p01-sk1fk1fl1.tiff,-1.8286281,-1.7474066,B,24,03,B24,DMSO,
r02c24f04p01-sk1fk1fl1.tiff,-2.6131709,-2.967245,B,24,04,B24,DMSO,
r02c24f05p01-sk1fk1fl1.tiff,-3.2740324,-1.9661436,B,24,05,B24,DMSO,
r02c24f06p01-sk1fk1fl1.tiff,-1.8888364,-1.3178513,B,24,06,B24,DMSO,
r02c24f07p01-sk1fk1fl1.tiff,-2.0847802,-1.5954888,B,24,07,B24,DMSO,
r02c24f08p01-sk1fk1fl1.tiff,-1.9863092,-3.7703667,B,24,08,B24,DMSO,
r02c24f09p01-sk1fk1fl1.tiff,-2.747253,-3.0157866,B,24,09,B24,DMSO,
r03c01f01p01-sk1fk1fl1.tiff,11.693486,2.9369874,C,01,01,C01,Fluphenazine,50
r03c01f02p01-sk1fk1fl1.tiff,12.568005,3.3236427,C,01,02,C01,Fluphenazine,50
r03c01f03p01-sk1fk1fl1.tiff,11.838666,3.01436,C,01,03,C01,Fluphenazine,50
r03c01f04p01-sk1fk1fl1.tiff,11.81965,2.9174356,C,01,04,C01,Fluphenazine,50
r03c01f05p01-sk1fk1fl1.tiff,11.458226,3.0307477,C,01,05,C01,Fluphenazine,50
r03c01f06p01-sk1fk1fl1.tiff,12.176591,3.160881,C,01,06,C01,Fluphenazine,50
r03c01f07p01-sk1fk1fl1.tiff,11.922827,2.8283467,C,01,07,C01,Fluphenazine,50
r03c01f08p01-sk1fk1fl1.tiff,11.491468,3.000973,C,01,08,C01,Fluphenazine,50
r03c01f09p01-sk1fk1fl1.tiff,11.469095,2.996175,C,01,09,C01,Fluphenazine,50
r03c02f01p01-sk1fk1fl1.tiff,9.327953,4.703973,C,02,01,C02,Fluphenazine,25
r03c02f02p01-sk1fk1fl1.tiff,9.421681,4.658165,C,02,02,C02,Fluphenazine,25
r03c02f03p01-sk1fk1fl1.tiff,10.140062,4.4459805,C,02,03,C02,Fluphenazine,25
r03c02f04p01-sk1fk1fl1.tiff,10.121779,4.4591265,C,02,04,C02,Fluphenazine,25
r03c02f05p01-sk1fk1fl1.tiff,10.120203,4.4143744,C,02,05,C02,Fluphenazine,25
r03c02f06p01-sk1fk1fl1.tiff,13.126572,3.4408162,C,02,06,C02,Fluphenazine,25
r03c02f07p01-sk1fk1fl1.tiff,10.710148,4.0107784,C,02,07,C02,Fluphenazine,25
r03c02f08p01-sk1fk1fl1.tiff,10.443673,4.3064003,C,02,08,C02,Fluphenazine,25
r03c02f09p01-sk1fk1fl1.tiff,9.830636,4.580946,C,02,09,C02,Fluphenazine,25
r03c12f01p01-sk1fk1fl1.tiff,12.245304,3.5547476,C,12,01,C12,Fluphenazine,50
r03c12f02p01-sk1fk1fl1.tiff,12.160422,3.5449889,C,12,02,C12,Fluphenazine,50
r03c12f03p01-sk1fk1fl1.tiff,12.65015,3.4196572,C,12,03,C12,Fluphenazine,50
r03c12f04p01-sk1fk1fl1.tiff,10.149336,4.3113136,C,12,04,C12,Fluphenazine,50
r03c12f05p01-sk1fk1fl1.tiff,13.63419,3.7121744,C,12,05,C12,Fluphenazine,50
r03c12f06p01-sk1fk1fl1.tiff,13.087298,3.529767,C,12,06,C12,Fluphenazine,50
r03c12f07p01-sk1fk1fl1.tiff,13.499573,3.61182,C,12,07,C12,Fluphenazine,50
r03c12f08p01-sk1fk1fl1.tiff,10.272472,4.1646657,C,12,08,C12,Fluphenazine,50
r03c12f09p01-sk1fk1fl1.tiff,13.326963,3.551596,C,12,09,C12,Fluphenazine,50
r03c13f01p01-sk1fk1fl1.tiff,12.045897,3.611822,C,13,01,C13,Fluphenazine,25
r03c13f02p01-sk1fk1fl1.tiff,10.226604,4.330548,C,13,02,C13,Fluphenazine,25
r03c13f03p01-sk1fk1fl1.tiff,9.949843,4.3568215,C,13,03,C13,Fluphenazine,25
r03c13f04p01-sk1fk1fl1.tiff,12.597594,3.258303,C,13,04,C13,Fluphenazine,25
r03c13f05p01-sk1fk1fl1.tiff,9.3885,4.682098,C,13,05,C13,Fluphenazine,25
r03c13f06p01-sk1fk1fl1.tiff,13.650804,3.753686,C,13,06,C13,Fluphenazine,25
r03c13f07p01-sk1fk1fl1.tiff,9.956493,4.5712953,C,13,07,C13,Fluphenazine,25
r03c13f08p01-sk1fk1fl1.tiff,10.824274,3.9349468,C,13,08,C13,Fluphenazine,25
r03c13f09p01-sk1fk1fl1.tiff,12.539988,3.3565593,C,13,09,C13,Fluphenazine,25
r03c23f01p01-sk1fk1fl1.tiff,-2.3225002,-2.040763,C,23,01,C23,DMSO,
r03c23f02p01-sk1fk1fl1.tiff,-1.7733057,-2.4690363,C,23,02,C23,DMSO,
r03c23f03p01-sk1fk1fl1.tiff,-2.398294,-2.706618,C,23,03,C23,DMSO,
r03c23f04p01-sk1fk1fl1.tiff,-3.173003,-3.5726662,C,23,04,C23,DMSO,
r03c23f05p01-sk1fk1fl1.tiff,-1.1370529,-2.9763381,C,23,05,C23,DMSO,
r03c23f06p01-sk1fk1fl1.tiff,-2.50382,-1.9395391,C,23,06,C23,DMSO,
r03c23f07p01-sk1fk1fl1.tiff,-3.0393171,-4.4373345,C,23,07,C23,DMSO,
r03c23f08p01-sk1fk1fl1.tiff,-2.0454354,-4.201956,C,23,08,C23,DMSO,
r03c23f09p01-sk1fk1fl1.tiff,-2.1911178,-4.056956,C,23,09,C23,DMSO,
r03c24f01p01-sk1fk1fl1.tiff,-1.9178506,-1.5734819,C,24,01,C24,DMSO,
r03c24f02p01-sk1fk1fl1.tiff,-2.3085983,-0.9426287,C,24,02,C24,DMSO,
r03c24f03p01-sk1fk1fl1.tiff,-2.2644842,-1.5133393,C,24,03,C24,DMSO,
r03c24f04p01-sk1fk1fl1.tiff,-1.1029971,-1.9849545,C,24,04,C24,DMSO,
r03c24f05p01-sk1fk1fl1.tiff,-3.2965024,-1.9476869,C,24,05,C24,DMSO,
r03c24f06p01-sk1fk1fl1.tiff,-2.1909275,-0.6936558,C,24,06,C24,DMSO,
r03c24f07p01-sk1fk1fl1.tiff,-2.3715894,-2.3360157,C,24,07,C24,DMSO,
r03c24f08p01-sk1fk1fl1.tiff,-1.8897814,-3.575718,C,24,08,C24,DMSO,
r03c24f09p01-sk1fk1fl1.tiff,-1.2644812,-2.0434182,C,24,09,C24,DMSO,
r04c01f01p01-sk1fk1fl1.tiff,0.5485585,5.8542576,D,01,01,D01,Latrunculin B,50
r04c01f02p01-sk1fk1fl1.tiff,0.008925831,5.196716,D,01,02,D01,Latrunculin B,50
r04c01f03p01-sk1fk1fl1.tiff,-0.49799785,6.1674023,D,01,03,D01,Latrunculin B,50
r04c01f04p01-sk1fk1fl1.tiff,-0.7449332,5.9536138,D,01,04,D01,Latrunculin B,50
r04c01f05p01-sk1fk1fl1.tiff,-0.2168918,6.053436,D,01,05,D01,Latrunculin B,50
r04c01f06p01-sk1fk1fl1.tiff,0.25925332,4.9865193,D,01,06,D01,Latrunculin B,50
r04c01f07p01-sk1fk1fl1.tiff,0.2793594,5.8711033,D,01,07,D01,Latrunculin B,50
r04c01f08p01-sk1fk1fl1.tiff,-0.53592175,6.096708,D,01,08,D01,Latrunculin B,50
r04c01f09p01-sk1fk1fl1.tiff,-0.102732845,6.202913,D,01,09,D01,Latrunculin B,50
r04c02f01p01-sk1fk1fl1.tiff,-0.5770699,5.6721835,D,02,01,D02,Latrunculin B,25
r04c02f02p01-sk1fk1fl1.tiff,0.22397599,5.4864254,D,02,02,D02,Latrunculin B,25
r04c02f03p01-sk1fk1fl1.tiff,-0.07131646,5.4342012,D,02,03,D02,Latrunculin B,25
r04c02f04p01-sk1fk1fl1.tiff,0.120141186,5.906223,D,02,04,D02,Latrunculin B,25
r04c02f05p01-sk1fk1fl1.tiff,-0.018712232,5.9532404,D,02,05,D02,Latrunculin B,25
r04c02f06p01-sk1fk1fl1.tiff,0.33570915,5.3163614,D,02,06,D02,Latrunculin B,25
r04c02f07p01-sk1fk1fl1.tiff,0.3168292,5.5911155,D,02,07,D02,Latrunculin B,25
r04c02f08p01-sk1fk1fl1.tiff,-0.089174256,6.1140504,D,02,08,D02,Latrunculin B,25
r04c02f09p01-sk1fk1fl1.tiff,-0.18108079,5.7127547,D,02,09,D02,Latrunculin B,25
r04c12f01p01-sk1fk1fl1.tiff,-0.30716613,5.9008594,D,12,01,D12,Latrunculin B,50
r04c12f02p01-sk1fk1fl1.tiff,-0.046079833,6.0094495,D,12,02,D12,Latrunculin B,50
r04c12f03p01-sk1fk1fl1.tiff,-0.5328453,5.4477577,D,12,03,D12,Latrunculin B,50
r04c12f04p01-sk1fk1fl1.tiff,0.09652897,5.715823,D,12,04,D12,Latrunculin B,50
r04c12f05p01-sk1fk1fl1.tiff,-0.22271337,5.5520782,D,12,05,D12,Latrunculin B,50
r04c12f06p01-sk1fk1fl1.tiff,-0.58709437,6.0327067,D,12,06,D12,Latrunculin B,50
r04c12f07p01-sk1fk1fl1.tiff,0.43692738,5.8494306,D,12,07,D12,Latrunculin B,50
r04c12f08p01-sk1fk1fl1.tiff,-0.3363078,5.9309955,D,12,08,D12,Latrunculin B,50
r04c12f09p01-sk1fk1fl1.tiff,-0.59094316,6.128853,D,12,09,D12,Latrunculin B,50
r04c13f01p01-sk1fk1fl1.tiff,-0.22846274,5.720664,D,13,01,D13,Latrunculin B,25
r04c13f02p01-sk1fk1fl1.tiff,0.0018981282,5.674616,D,13,02,D13,Latrunculin B,25
r04c13f03p01-sk1fk1fl1.tiff,-0.45996648,5.9934025,D,13,03,D13,Latrunculin B,25
r04c13f04p01-sk1fk1fl1.tiff,0.10403091,5.705624,D,13,04,D13,Latrunculin B,25
r04c13f05p01-sk1fk1fl1.tiff,-0.404431,6.0139885,D,13,05,D13,Latrunculin B,25
r04c13f06p01-sk1fk1fl1.tiff,0.23974419,5.552765,D,13,06,D13,Latrunculin B,25
r04c13f07p01-sk1fk1fl1.tiff,-0.022055624,6.221489,D,13,07,D13,Latrunculin B,25
r04c13f08p01-sk1fk1fl1.tiff,-0.11606987,5.7483106,D,13,08,D13,Latrunculin B,25
r04c13f09p01-sk1fk1fl1.tiff,-0.20517184,6.04895,D,13,09,D13,Latrunculin B,25
r04c23f01p01-sk1fk1fl1.tiff,-2.9807208,-2.9023168,D,23,01,D23,DMSO,
r04c23f02p01-sk1fk1fl1.tiff,-2.5393949,-4.068933,D,23,02,D23,DMSO,
r04c23f03p01-sk1fk1fl1.tiff,-2.202379,-1.6085978,D,23,03,D23,DMSO,
r04c23f04p01-sk1fk1fl1.tiff,-3.166136,-2.7708519,D,23,04,D23,DMSO,
